lambda1,P11_Pow(I1),P11_Pow(I2),P11_Exp(I1),P11_Exp(I2),P11_Pow(I4),P11_Pow(I6),P11_Exp(I4),P11_Exp(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Exp(I1),P22_Exp(I2),P22_Pow(I4),P22_Pow(I6),P22_Exp(I4),P22_Exp(I6)
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.002020202020202,2.3222608994478956e-11,2.0046974485116755e-11,2.3367661214667866e-12,5.74596827708888e-13,1.6690242154017518e-06,0.0001408502884497377,7.103807007851715e-07,0.0004914987999759049,1.002020202020202,3.4833913492974427e-12,3.0070461727675134e-12,3.505149182034413e-13,8.618952415312788e-14,0.0,0.0,0.0,0.0
1.004040404040404,8.402446167943314e-10,8.987400507286342e-10,8.205139122820507e-11,2.652814169284418e-11,3.339336304958914e-06,0.00027988837760932125,1.4217208904650106e-06,0.0009744118664360632,1.004040404040404,1.2603669252142402e-10,1.3481100761516082e-10,1.230770868437674e-11,3.979221254075255e-12,0.0,0.0,0.0,0.0
1.006060606060606,6.84298197858672e-09,8.279089845206778e-09,6.566263302353404e-10,2.4860751555871436e-10,5.01093466814134e-06,0.00041714115966022536,2.134021552163798e-06,0.0014489237240988759,1.006060606060606,1.0264472967715247e-09,1.2418634767466952e-09,9.849394953374675e-11,3.729112733272296e-11,0.0,0.0,0.0,0.0
1.0080808080808081,3.0263296867626164e-08,3.989929677731153e-08,2.868100422106666e-09,1.2127749665295988e-09,6.683817709618282e-06,0.0005526350748598034,2.84728367483538e-06,0.0019152141674083425,1.0080808080808081,4.539494530092527e-09,5.984894516540554e-09,4.302150633121713e-10,1.8191624497773093e-10,0.0,0.0,0.0,0.0
1.0101010101010102,9.57842252875424e-08,1.3482904856313097e-07,8.990594677893822e-09,4.137025111040444e-09,8.3579838392327e-06,0.0006863961200206537,3.561508253259265e-06,0.002373458401232341,1.0101010101010102,1.4367633793131361e-08,2.0224357284469644e-08,1.3485892016840733e-09,6.205537666560667e-10,0.0,0.0,0.0,0.0
1.0121212121212122,2.453440833359488e-07,3.639962336236502e-07,2.284818520994498e-08,1.1254739723389184e-08,1.0033431471972738e-05,0.000818449856814266,4.276696288036069e-06,0.0028238271768125933,1.0121212121212122,3.6801612500392327e-08,5.4599435043661916e-08,3.4272277814963044e-09,1.6882109585119183e-09,0.0,0.0,0.0,0.0
1.0141414141414142,5.430562551559614e-07,8.416462301482708e-07,5.023776905842348e-08,2.6192673747204824e-08,1.1710159027946906e-05,0.0009488214199031009,4.992848785583589e-06,0.0032664869231452953,1.0141414141414142,8.145843827339422e-08,1.2624693452224063e-07,7.535665358763522e-09,3.928901062080758e-09,0.0,0.0,0.0,0.0
1.0161616161616163,1.0801996416652484e-06,1.737491289404072e-06,9.935387893979348e-08,5.43753256195503e-08,1.3388164932353936e-05,0.0010775355249048497,5.709966758132081e-06,0.0037015998739633876,1.0161616161616163,1.6202994624997156e-07,2.6062369341133504e-07,1.4903081840980136e-08,8.156298842951925e-09,0.0,0.0,0.0,0.0
1.018181818181818,1.980250293523979e-06,3.2893712983247224e-06,1.8121350192703795e-07,1.0344950309711071e-07,1.5067447615459899e-05,0.001204616476192714,6.428051223720822e-06,0.004129324190484854,1.018181818181818,2.9703754402846354e-07,4.934056947487062e-07,2.7182025289055694e-08,1.5517425464566608e-08,0.0,0.0,0.0,0.0
1.02020202020202,3.403933692011893e-06,5.816287927457869e-06,3.100795817356967e-07,1.8372422864563087e-07,1.6748005512569916e-05,0.0013300881745354556,7.147103206194016e-06,0.00454981408008456,1.02020202020202,5.10590053801784e-07,8.724431891180126e-07,4.651193726035451e-08,2.755863429681319e-08,0.0,0.0,0.0,0.0
1.0222222222222221,5.554282825551467e-06,9.731702454826227e-06,5.038822775406478e-07,3.086220659228049e-07,1.842983706400246e-05,0.0014539741245806342,7.867123735196511e-06,0.004963219911040241,1.0222222222222221,8.331424238324685e-07,1.4597553682239342e-06,7.558234163109717e-08,4.62933098884061e-08,0.0,0.0,0.0,0.0
1.0242424242424242,8.681691072317307e-06,1.5557008326516746e-05,7.846373172679146e-07,4.951386454429673e-07,2.0112940715063328e-05,0.0015762974421848121,8.588113846170521e-06,0.005369688323498243,1.0242424242424242,1.302253660847596e-06,2.3335512489791775e-06,1.176955975901872e-07,7.42707968164649e-08,0.0,0.0,0.0,0.0
